Name	Size	Numeric	Nominal	Classes	Dev_Class	Maj_Class	Min_Class	Nulls
Adult	48,842	6	8	2	26.07%	76.07%	23.93%	0.95%
Audiology	226	-	69	24	6.43%	25.22%	0.44%	2.00%
Autos	205	15	10	6	10.25%	32.68%	1.46%	1.15%
* Balance scale	625	4	-	3	18.03%	46.08%	7.84%	-
* Breast cancer Wisconsin	699	9	-	2	20.28%	70.28%	29.72%	0.25%
* Bupa	345	6	-	2	7.97%	57.97%	42.03%	-
* cmc	1,473	2	7	3	8.26%	42.70%	22.61%	-
Horse-Colic	368	7	15	2	13.04%	63.04%	36.96%	23.80%
* Connect-4	67,557	-	42	3	23.79%	65.83%	9.55%	-
Credit-A	690	6	9	2	5.51%	55.51%	44.49%	0.65%
Glass	214	9	-	2	12.69%	35.51%	4.21%	-
TAO-Grid	1,888	2	-	2	0.00%	50.00%	50.00%	-
Heart-C	303	6	7	5	4.46%	54.46%	45.54%	0.17%
Heart-H	294	6	7	5	13.95%	63.95%	36.05%	20.46%
Heart-Statlog	270	13	-	2	5.56%	55.56%	44.44%	-
Hepatitis	155	6	13	2	29.35%	79.35%	20.65%	6.01%
Hypothyroid	3,772	7	22	4	38.89%	92.29%	0.05%	5.54%
* Ionosphere	351	34	-	2	14.10%	64.10%	35.90%	-
* Iris	150	4	-	3	-	33.33%	33.33%	-
* Kropt	28,056	-	6	18	5.21%	16.23%	0.10%	-
* Kr-vs-kp	3,196	-	36	2	2.22%	52.22%	47.78%	-
Labor	57	8	8	2	14.91%	64.91%	35.09%	55.48%
* Lymph	148	3	15	4	23.47%	54.73%	1.35%	-
Mushroom	8,124	-	22	2	1.80%	51.80%	48.20%	1.38%
* Mx	2,048	-	11	2	0.00%	50.00%	50.00%	-
* Nursery	12,960	-	8	5	15.33%	33.33%	0.02%	-
* Pen-based	10,992	16	-	10	0.40%	10.41%	9.60%	-
* Pima-Diabetes	768	8	-	2	15.10%	65.10%	34.90%	-
* SatImage	6,435	36	-	6	6.19%	23.82%	9.73%	-
* Segment	2,310	19	-	7	0.00%	14.29%	14.29%	-
Sick	3,772	7	22	2	43.88%	93.88%	6.12%	5.54%
* Sonar	208	60	-	2	3.37%	53.37%	46.63%	-
Soybean	683	-	35	19	4.31%	13.47%	1.17%	9.78%
* Splice	3,190	-	60	3	13.12%	51.88%	24.04%	-
* Vehicle	946	18	-	4	0.89%	25.77%	23.52%	-
Vote	435	-	16	2	11.38%	61.38%	38.62%	5.63%
* Vowel	990	10	3	11	0.00%	9.09%	9.09%	-
* Waveform	5,000	40	-	3	0.36%	33.84%	33.06%	-
* Wine	178	13	-	3	5.28%	39.89%	26.97%	-
* Zoo	101	1	16	7	11.82%	40.59%	3.96%	-
